scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,100,100,0.27,10,10,Kaustubh Gupta,0.32,2.24,9.39,0.01,0.24,3,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,4,6.5,6.9
Aditya Birla SL Arbitrage Fund,1000,1000,0.36,4288,10,Lovelish Solanki,1.33,1.53,0.72,0.56,1.1,1,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5
Aditya Birla SL Asset Allocator FoF-Dir Growth,1000,1000,0.53,157,10,Vinod Narayan Bhat,3.44,2.67,10.58,0.67,1.42,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2,18.9,9.7
Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,500,1000,0.76,637,4,Atul Penkar,2.18,-6.37,14.99,0.85,0.9,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Childrens Funds,-0.7,17.1,
Aditya Birla SL Balanced Advantage Fund,100,100,0.61,6386,10,Mohit Sharma,3.69,1.99,10.38,0.68,1.39,6,Aditya Birla Sun Life Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4.5,18.6,9.7
Aditya Birla SL Banking&Financial Services-DirGrowth,1000,1000,1.17,2384,9,Dhaval Gala,2.07,1.24,25.53,0.96,0.97,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,5.3,24.6,9.2
Aditya Birla SL Banking&PSU Debt Fund,1000,1000,0.37,7994,10,Kaustubh Gupta,1.92,4.46,1.91,1.78,1.09,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.8,7.3
Aditya Birla SL CEF – Global Agri Plan-Direct Growth,1000,1000,1.29,15,10,Vinod Narayan Bhat,1.42,-,20.18,-,1.06,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-10.3,29.4,9.3
Aditya Birla SL Corporate Bond Fund,100,100,0.31,12120,10,Kaustubh Gupta,2.28,2.38,1.93,0.78,1.35,2,Aditya Birla Sun Life Mutual Fund,4,Debt,Corporate Bond Mutual Funds,4.9,7.1,7.4
Aditya Birla SL Credit Risk Fund,100,100,0.69,1032,8,Sunaina da Cunha,1.82,3.01,2.9,-0.95,1.47,4,Aditya Birla Sun Life Mutual Fund,4,Debt,Credit Risk Funds,8.7,9,7.2
Aditya Birla SL Digital India Fund,100,1000,0.88,3338,10,Kunal Sangoi,2.42,9.37,21.12,0.83,1.53,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-14.6,39.8,21.1
Aditya Birla SL Dividend Yield Fund,1000,1000,1.73,850,10,Dhaval Gala,3.78,5.04,15.77,0.85,1.58,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Dividend Yield Funds,6.2,30.5,10
Aditya Birla SL Dynamic Bond Fund,1000,1000,0.64,1795,10,Mohit Sharma,1.78,3.02,3.22,0.91,1.02,3,Aditya Birla Sun Life Mutual Fund,5,Debt,Dynamic Bond,7.5,8,6
Aditya Birla SL Equity Advantage Fund,1000,1000,1.14,4836,10,Atul Penkar,2.21,-2.06,17.61,0.98,1.16,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Large & Mid Cap Funds,-9.9,22.3,7.9
Aditya Birla SL Equity Hybrid ’95 Fund,100,100,1.01,7046,10,Mahesh Patil,2.54,1.43,12.84,0.85,1.33,6,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-5.7,20.4,7.7
Aditya Birla SL Equity Savings Fund,1000,1000,1.21,451,8,Dhaval Shah,2.55,1.11,6.83,0.99,1.2,4,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,0.8,11.7,6.9
Aditya Birla SL Flexi Cap Fund,100,100,0.86,15449,10,Anil Shah,3.4,-1.46,16.6,0.96,1.27,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Flexi Cap Funds,-2.1,25,10.4
Aditya Birla SL Floating Rate Fund,1000,1000,0.23,12364,10,Kaustubh Gupta,2.81,3.73,1.14,1.37,1.66,2,Aditya Birla Sun Life Mutual Fund,5,Debt,Floater Mutual Funds,5.8,6.4,6.8
Aditya Birla SL Focused Equity Fund,1000,1000,1.06,5633,10,Mahesh Patil,3.24,-1.14,16.09,0.95,1.26,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Focused Funds,-0.7,24,10.7
Aditya Birla SL FP FoF – Aggressive – Direct Growth,100,100,0.22,159,10,Vinod Narayan Bhat,3.13,1.65,11.73,0.8,1.4,6,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2.5,21.7,10.7
Aditya Birla SL FP FoF – Conservative – Direct Growth,100,100,0.34,14,10,Vinod Narayan Bhat,3.82,1.94,5.49,0.36,1.57,4,Aditya Birla Sun Life Mutual Fund,4,Other,FoFs Domestic,4.7,13.3,8.2
Aditya Birla SL FP FoF – Moderate – Direct Growth,100,100,0.36,28,10,Vinod Narayan Bhat,3.09,1.69,8.56,0.58,1.44,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,3.7,17.3,9.4
Aditya Birla SL Frontline Equity Fund,100,100,1.03,21131,10,Mahesh Patil,3.36,0.76,16.02,0.95,1.39,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Large Cap Mutual Funds,1.6,26.3,10.6
